Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789784334,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789784335,10,,Aggregated,0.000000,0.000000,44,46,47,48,50,50,50,50,50,50,50,10,0,41,42.189783599678776,27.770381999289384,50.09200399945257,87.7
1789784336,20,,Aggregated,0.000000,0.000000,41,45,48,50,51,52,55,55,55,55,55,30,0,40,34.25322183308405,7.023860998742748,54.66276200240827,85.43333333333334
1789784337,30,,Aggregated,10.000000,0.000000,26,36,42,44,50,51,52,55,55,55,55,56,0,26,26.534150321562525,7.023860998742748,54.66276200240827,87.01785714285714
1789784338,40,,Aggregated,14.500000,0.000000,18,31,36,37,47,50,52,55,55,55,55,87,0,18,22.778363000066623,6.935928999155294,54.66276200240827,87.26436781609195
1789784339,50,,Aggregated,16.666667,0.000000,10,28,35,40,49,53,56,57,57,57,57,129,0,10,21.725046217101788,6.750979999196716,56.7234219997772,87.62015503875969
1789784340,60,,Aggregated,21.500000,0.000000,10,22,30,34,46,51,56,57,57,57,57,171,0,10,19.688087684347952,6.750979999196716,56.7234219997772,88.05847953216374
1789784341,70,,Aggregated,24.400000,0.000000,10,18,28,33,45,50,55,56,57,57,57,223,0,10,18.99607525118812,6.255185999179957,56.7234219997772,87.65470852017937
1789784342,80,,Aggregated,27.500000,0.000000,10,15,26,30,42,49,54,56,57,57,57,277,0,10,17.804866924242912,6.255185999179957,56.7234219997772,87.21660649819495
1789784343,90,,Aggregated,30.857143,0.000000,10,12,23,29,41,49,54,56,57,57,57,346,0,10,17.23465026307325,6.255185999179957,56.7234219997772,87.32369942196532
1789784344,100,,Aggregated,33.625000,0.000000,10,12,20,28,41,48,53,56,57,57,57,413,0,10,16.64698441894756,6.186957001773408,56.7234219997772,85.93946731234867
1789784345,100,,Aggregated,37.555556,0.000000,10,11,16,23,37,47,52,56,57,57,57,482,0,10,15.571171522858256,6.186957001773408,56.7234219997772,85.4045643153527
1789784346,100,,Aggregated,40.100000,0.000000,9,11,13,18,36,45,51,55,57,57,57,546,0,9,14.806662195994813,6.186957001773408,56.7234219997772,85.21062271062272
1789784347,100,,Aggregated,46.000000,0.000000,9,10,12,16,33,44,50,54,57,57,57,611,0,9,14.25352740263969,6.186957001773408,56.7234219997772,84.74631751227496
1789784348,100,,Aggregated,50.500000,0.000000,9,10,12,14,32,43,50,54,57,57,57,669,0,9,13.81861481614634,6.186957001773408,56.7234219997772,84.73094170403587
1789784349,100,,Aggregated,55.000000,0.000000,9,10,11,13,30,41,50,53,57,57,57,743,0,9,13.37810155180394,6.186957001773408,56.7234219997772,84.83983849259758
1789784350,100,,Aggregated,57.400000,0.000000,9,10,11,13,29,41,49,53,57,57,57,812,0,9,13.084190756147695,6.18338899948867,56.7234219997772,84.54679802955665
1789784351,100,,Aggregated,60.700000,0.000000,9,10,11,12,27,40,49,53,57,57,57,877,0,9,12.77899414366145,6.18338899948867,56.7234219997772,84.7787913340935
