timestamp,elapsed_seconds,container,cpu_percent,memory_usage,memory_percent
2026-09-18T21:44:17.194658,0.0,tcc-monolith,0.39%,62.56MiB / 15.31GiB,0.40%
2026-09-18T21:44:19.207145,0.0,tcc-postgres,0.00%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:44:22.195936,5.0,tcc-monolith,0.46%,62.56MiB / 15.31GiB,0.40%
2026-09-18T21:44:24.206038,5.0,tcc-postgres,0.18%,56.42MiB / 15.31GiB,0.36%
2026-09-18T21:44:27.193209,10.0,tcc-monolith,7.52%,62.66MiB / 15.31GiB,0.40%
2026-09-18T21:44:29.203648,10.0,tcc-postgres,1.21%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:44:32.195183,15.0,tcc-monolith,18.39%,62.95MiB / 15.31GiB,0.40%
2026-09-18T21:44:34.205295,15.0,tcc-postgres,3.37%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:44:37.195931,20.0,tcc-monolith,18.52%,62.97MiB / 15.31GiB,0.40%
2026-09-18T21:44:39.201628,20.0,tcc-postgres,1.85%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:44:42.204279,25.0,tcc-monolith,31.27%,63MiB / 15.31GiB,0.40%
2026-09-18T21:44:44.219505,25.0,tcc-postgres,4.81%,56.42MiB / 15.31GiB,0.36%
2026-09-18T21:44:47.193672,30.0,tcc-monolith,26.32%,62.97MiB / 15.31GiB,0.40%
2026-09-18T21:44:49.201330,30.0,tcc-postgres,2.48%,56.41MiB / 15.31GiB,0.36%
2026-09-18T21:44:52.248698,35.0,tcc-monolith,51.09%,62.85MiB / 15.31GiB,0.40%
2026-09-18T21:44:54.262062,35.0,tcc-postgres,5.89%,56.42MiB / 15.31GiB,0.36%
2026-09-18T21:44:57.218434,40.0,tcc-monolith,49.76%,63MiB / 15.31GiB,0.40%
2026-09-18T21:44:59.229843,40.0,tcc-postgres,5.86%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:45:02.255798,45.0,tcc-monolith,60.02%,62.91MiB / 15.31GiB,0.40%
2026-09-18T21:45:04.270868,45.0,tcc-postgres,6.12%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:45:07.249604,50.0,tcc-monolith,49.30%,62.92MiB / 15.31GiB,0.40%
2026-09-18T21:45:09.250550,50.0,tcc-postgres,5.04%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:45:12.232494,55.0,tcc-monolith,44.66%,62.89MiB / 15.31GiB,0.40%
2026-09-18T21:45:14.253764,55.0,tcc-postgres,5.12%,56.4MiB / 15.31GiB,0.36%
2026-09-18T21:45:17.247268,60.0,tcc-monolith,33.32%,63.01MiB / 15.31GiB,0.40%
2026-09-18T21:45:19.255462,60.0,tcc-postgres,2.57%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:45:22.214121,65.0,tcc-monolith,18.78%,63.01MiB / 15.31GiB,0.40%
2026-09-18T21:45:24.221905,65.0,tcc-postgres,3.41%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:45:27.203934,70.0,tcc-monolith,26.36%,62.94MiB / 15.31GiB,0.40%
2026-09-18T21:45:29.202931,70.0,tcc-postgres,2.56%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:45:32.202640,75.0,tcc-monolith,28.39%,62.94MiB / 15.31GiB,0.40%
2026-09-18T21:45:34.211642,75.0,tcc-postgres,1.95%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:45:37.203061,80.0,tcc-monolith,21.78%,62.95MiB / 15.31GiB,0.40%
2026-09-18T21:45:39.210734,80.0,tcc-postgres,2.22%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:45:42.197258,85.0,tcc-monolith,23.29%,62.94MiB / 15.31GiB,0.40%
2026-09-18T21:45:44.208390,85.0,tcc-postgres,2.39%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:45:47.233743,90.0,tcc-monolith,26.41%,63MiB / 15.31GiB,0.40%
2026-09-18T21:45:49.242749,90.0,tcc-postgres,4.60%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:45:52.198601,95.0,tcc-monolith,28.63%,62.88MiB / 15.31GiB,0.40%
2026-09-18T21:45:54.211482,95.0,tcc-postgres,3.33%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:45:57.198101,100.0,tcc-monolith,17.62%,62.89MiB / 15.31GiB,0.40%
2026-09-18T21:45:59.212960,100.0,tcc-postgres,1.74%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:46:02.202420,105.0,tcc-monolith,26.92%,62.89MiB / 15.31GiB,0.40%
2026-09-18T21:46:04.207693,105.0,tcc-postgres,2.84%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:46:07.202396,110.0,tcc-monolith,28.02%,62.88MiB / 15.31GiB,0.40%
2026-09-18T21:46:09.210408,110.0,tcc-postgres,3.18%,56.39MiB / 15.31GiB,0.36%
2026-09-18T21:46:12.204156,115.0,tcc-monolith,28.58%,62.87MiB / 15.31GiB,0.40%
2026-09-18T21:46:14.215521,115.0,tcc-postgres,2.38%,56.39MiB / 15.31GiB,0.36%
