architecture,users,run,cpu_mean,cpu_peak,memory_mean_mib,memory_peak_mib
microservices,10,1,6.02,12.31,232.58,234.78
microservices,10,2,7.73,18.02,234.93,235.08
microservices,10,3,6.44,12.84,235.09,235.45
microservices,50,1,19.84,30.51,244.1,244.6
microservices,50,2,21.69,29.22,244.78,245.23
microservices,50,3,17.14,25.26,248.13,248.43
microservices,100,1,39.91,49.62,252.99,254.5
microservices,100,2,43.86,57.28,254.38,255.15
microservices,100,3,41.12,63.7,255.48,257.33
monolith,10,1,7.7,25.69,112.67,113.08
monolith,10,2,4.5,9.2,113.03,113.12
monolith,10,3,8.25,17.01,113.22,114.87
monolith,50,1,19.62,28.42,118.31,119.07
monolith,50,2,20.65,39.38,119.18,121.06
monolith,50,3,30.87,66.14,119.29,119.42
monolith,100,1,37.7,53.49,121.04,122.38
monolith,100,2,38.96,55.97,121.65,122.25
monolith,100,3,36.59,49.03,121.9,122.49
